id,character,category,category_index,checkpoint,lora,lora_strength_model,lora_strength_clip,prompt_positive,prompt_negative,seed,steps,cfg,sampler,scheduler,width,height,prompt_id,filename,subfolder,type,image_path,elapsed_seconds,created_at,approved,notes
elena_voss_playa_001,Elena Voss,playa,1,realvisxlV50_v50Bakedvae.safetensors,elena_voss_v1.safetensors,0.85,0.85,"elena_voss woman, Elena Voss, 25 year old woman, same identity, same face, same body, warm light olive skin, hazel green-brown eyes, dark chestnut brown medium-long wavy hair, oval face, straight medium-small nose, soft defined jaw, subtle warm smile, slim athletic natural build, realistic editorial lifestyle photography, natural skin texture, soft daylight, warm neutral color grading, 35mm look, authentic calm remote lifestyle, walking on a quiet beach at sunrise, cream linen shirt, sea breeze, soft waves in background, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","different woman, different face, different body, different age, older, younger, teenager, heavy makeup, dark sunglasses covering eyes, mask, face hidden, extreme body proportions, weight change, bodybuilder, overly thin, plastic skin, doll face, deformed face, asymmetrical eyes, bad nose, bad jaw, distorted smile, extra fingers, missing fingers, bad hands, duplicate person, multiple people, text, watermark, logo, low quality, blurry, uncanny ai look, overprocessed, oversaturated, sexualized, nude, lingerie",310520260001,6,2.0,euler,normal,512,768,9ecd7c98-7bb4-4467-873d-6ed7fae15d3d,elena_voss_playa_001_00002_.png,dataset\elena_voss\playa,output,images/generated/dataset/elena_voss/playa/elena_voss_playa_001_00002_.png,16.131,2026-06-08T01:16:10.115440+00:00,False,initial_sdxl_seed_dataset
elena_voss_cafeteria_001,Elena Voss,cafeteria,1,realvisxlV50_v50Bakedvae.safetensors,elena_voss_v1.safetensors,0.85,0.85,"elena_voss woman, Elena Voss, 25 year old woman, same identity, same face, same body, warm light olive skin, hazel green-brown eyes, dark chestnut brown medium-long wavy hair, oval face, straight medium-small nose, soft defined jaw, subtle warm smile, slim athletic natural build, realistic editorial lifestyle photography, natural skin texture, soft daylight, warm neutral color grading, 35mm look, authentic calm remote lifestyle, sunlit cafe table, iced latte, laptop open, morning planning routine, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","different woman, different face, different body, different age, older, younger, teenager, heavy makeup, dark sunglasses covering eyes, mask, face hidden, extreme body proportions, weight change, bodybuilder, overly thin, plastic skin, doll face, deformed face, asymmetrical eyes, bad nose, bad jaw, distorted smile, extra fingers, missing fingers, bad hands, duplicate person, multiple people, text, watermark, logo, low quality, blurry, uncanny ai look, overprocessed, oversaturated, sexualized, nude, lingerie",310520261001,6,2.0,euler,normal,512,768,52c15b48-afac-43ad-8321-fd718bf0a979,elena_voss_cafeteria_001_00001_.png,dataset\elena_voss\cafeteria,output,images/generated/dataset/elena_voss/cafeteria/elena_voss_cafeteria_001_00001_.png,8.072,2026-06-08T01:16:18.189159+00:00,False,initial_sdxl_seed_dataset
elena_voss_gym_001,Elena Voss,gym,1,realvisxlV50_v50Bakedvae.safetensors,elena_voss_v1.safetensors,0.85,0.85,"elena_voss woman, Elena Voss, 25 year old woman, same identity, same face, same body, warm light olive skin, hazel green-brown eyes, dark chestnut brown medium-long wavy hair, oval face, straight medium-small nose, soft defined jaw, subtle warm smile, slim athletic natural build, realistic editorial lifestyle photography, natural skin texture, soft daylight, warm neutral color grading, 35mm look, authentic calm remote lifestyle, bright boutique gym, clean athleisure, holding towel and water bottle after workout, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","different woman, different face, different body, different age, older, younger, teenager, heavy makeup, dark sunglasses covering eyes, mask, face hidden, extreme body proportions, weight change, bodybuilder, overly thin, plastic skin, doll face, deformed face, asymmetrical eyes, bad nose, bad jaw, distorted smile, extra fingers, missing fingers, bad hands, duplicate person, multiple people, text, watermark, logo, low quality, blurry, uncanny ai look, overprocessed, oversaturated, sexualized, nude, lingerie",310520262001,6,2.0,euler,normal,512,768,a5a62d03-0959-482b-b4d9-feb8b3ae0797,elena_voss_gym_001_00001_.png,dataset\elena_voss\gym,output,images/generated/dataset/elena_voss/gym/elena_voss_gym_001_00001_.png,8.06,2026-06-08T01:16:26.251143+00:00,False,initial_sdxl_seed_dataset
elena_voss_viajes_001,Elena Voss,viajes,1,realvisxlV50_v50Bakedvae.safetensors,elena_voss_v1.safetensors,0.85,0.85,"elena_voss woman, Elena Voss, 25 year old woman, same identity, same face, same body, warm light olive skin, hazel green-brown eyes, dark chestnut brown medium-long wavy hair, oval face, straight medium-small nose, soft defined jaw, subtle warm smile, slim athletic natural build, realistic editorial lifestyle photography, natural skin texture, soft daylight, warm neutral color grading, 35mm look, authentic calm remote lifestyle, airport lounge with small suitcase, cream trench, calm travel morning mood, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","different woman, different face, different body, different age, older, younger, teenager, heavy makeup, dark sunglasses covering eyes, mask, face hidden, extreme body proportions, weight change, bodybuilder, overly thin, plastic skin, doll face, deformed face, asymmetrical eyes, bad nose, bad jaw, distorted smile, extra fingers, missing fingers, bad hands, duplicate person, multiple people, text, watermark, logo, low quality, blurry, uncanny ai look, overprocessed, oversaturated, sexualized, nude, lingerie",310520263001,6,2.0,euler,normal,512,768,31b3e8b1-8468-4c99-96ce-beed4811ded0,elena_voss_viajes_001_00001_.png,dataset\elena_voss\viajes,output,images/generated/dataset/elena_voss/viajes/elena_voss_viajes_001_00001_.png,8.091,2026-06-08T01:16:34.343372+00:00,False,initial_sdxl_seed_dataset
elena_voss_lifestyle_001,Elena Voss,lifestyle,1,realvisxlV50_v50Bakedvae.safetensors,elena_voss_v1.safetensors,0.85,0.85,"elena_voss woman, Elena Voss, 25 year old woman, same identity, same face, same body, warm light olive skin, hazel green-brown eyes, dark chestnut brown medium-long wavy hair, oval face, straight medium-small nose, soft defined jaw, subtle warm smile, slim athletic natural build, realistic editorial lifestyle photography, natural skin texture, soft daylight, warm neutral color grading, 35mm look, authentic calm remote lifestyle, bright apartment morning routine, making matcha on a clean kitchen counter, single person, same identity, consistent facial features, realistic hands when visible, no text, no watermark","different woman, different face, different body, different age, older, younger, teenager, heavy makeup, dark sunglasses covering eyes, mask, face hidden, extreme body proportions, weight change, bodybuilder, overly thin, plastic skin, doll face, deformed face, asymmetrical eyes, bad nose, bad jaw, distorted smile, extra fingers, missing fingers, bad hands, duplicate person, multiple people, text, watermark, logo, low quality, blurry, uncanny ai look, overprocessed, oversaturated, sexualized, nude, lingerie",310520264001,6,2.0,euler,normal,512,768,b5baa77f-0100-426a-91cd-7e69097852ee,elena_voss_lifestyle_001_00001_.png,dataset\elena_voss\lifestyle,output,images/generated/dataset/elena_voss/lifestyle/elena_voss_lifestyle_001_00001_.png,8.062,2026-06-08T01:16:42.407368+00:00,False,initial_sdxl_seed_dataset
